Finding ID,CBOM Record ID,Mission Thread ID,Discovery Date,Discovery Method,Tool / Capability,Coverage Domain,Asset / Endpoint,Internet or Internal,Observed Crypto Artifact,Algorithm / Protocol,Library / Package,Container Image / Digest,SBOM Reference,Evidence Location,Finding Confidence,Authoritative Record Matched?,Validation Status,Blind Spot / Limitation,False Positive?,Remediation Required?,Assigned Owner,Next Validation Date,Source / Notes
FIND-00023,,,2026-08-12,directly observed,qSearch 1.0.0 (scan collector),source code and certificates,/etc/ssl/certs/ANF_Secure_Server_Root_CA.pem,Internal,PEM certificate in /etc/ssl/certs/ANF_Secure_Server_Root_CA.pem,RSA,,,,sha256:fb8fec759169b9106b1e511644c618c51304373f6c0643088d8beffd1b997599,high,No,Unvalidated (automated finding),,,Review,,,classification: quantum-vulnerable; risk: medium
FIND-00024,,,2026-08-12,directly observed,qSearch 1.0.0 (scan collector),source code and certificates,/etc/ssl/certs/HARICA_TLS_ECC_Root_CA_2021.pem,Internal,PEM certificate in /etc/ssl/certs/HARICA_TLS_ECC_Root_CA_2021.pem,EC (ECDSA/ECDH),,,,sha256:3f99cc474acfce4dfed58794665e478d1547739f2e780f1bb4ca9b133097d401,high,No,Unvalidated (automated finding),,,Review,,,classification: quantum-vulnerable; risk: medium
FIND-00025,,,2026-08-12,directly observed,qSearch 1.0.0 (scan collector),source code and certificates,/etc/ssl/certs/D-TRUST_BR_Root_CA_1_2020.pem,Internal,PEM certificate in /etc/ssl/certs/D-TRUST_BR_Root_CA_1_2020.pem,EC (ECDSA/ECDH),,,,sha256:e59aaa816009c22bff5b25bad37df306f049797c1f81d85ab089e657bd8f0044,high,No,Unvalidated (automated finding),,,Review,,,classification: quantum-vulnerable; risk: medium
FIND-00026,,,2026-08-12,directly observed,qSearch 1.0.0 (scan collector),source code and certificates,/etc/ssl/certs/e18bfb83.0,Internal,PEM certificate in /etc/ssl/certs/e18bfb83.0,RSA,,,,sha256:88ef81de202eb018452e43f864725cea5fbd1fc2d9d205730709c5d8b8690f46,high,No,Unvalidated (automated finding),,,Review,,,classification: quantum-vulnerable; risk: medium
FIND-00027,,,2026-08-12,directly observed,qSearch 1.0.0 (scan collector),source code and certificates,/etc/ssl/certs/d52c538d.0,Internal,PEM certificate in /etc/ssl/certs/d52c538d.0,RSA,,,,sha256:371a00dc0533b3721a7eeb40e8419e70799d2b0a0f2c1d80693165f7cec4ad75,high,No,Unvalidated (automated finding),,,Review,,,classification: quantum-vulnerable; risk: medium
FIND-00028,,,2026-08-12,directly observed,qSearch 1.0.0 (scan collector),source code and certificates,/etc/ssl/certs/48bec511.0,Internal,PEM certificate in /etc/ssl/certs/48bec511.0,RSA,,,,sha256:5c58468d55f58e497e743982d2b50010b6d165374acf83a7d4a32db768c4408e,high,No,Unvalidated (automated finding),,,Review,,,classification: quantum-vulnerable; risk: medium
FIND-00029,,,2026-08-12,directly observed,qSearch 1.0.0 (scan collector),source code and certificates,/etc/ssl/certs/ce5e74ef.0,Internal,PEM certificate in /etc/ssl/certs/ce5e74ef.0,RSA,,,,sha256:8ecde6884f3d87b1125ba31ac3fcb13d7016de7f57cc904fe1cb97c6ae98196e,high,No,Unvalidated (automated finding),,,Review,,,classification: quantum-vulnerable; risk: medium
FIND-00030,,,2026-08-12,directly observed,qSearch 1.0.0 (scan collector),source code and certificates,/etc/ssl/certs/9046744a.0,Internal,PEM certificate in /etc/ssl/certs/9046744a.0,RSA,,,,sha256:7bb647a62aeeac88bf257aa522d01ffea395e0ab45c73f93f65654ec38f25a06,high,No,Unvalidated (automated finding),,,Review,,,classification: quantum-vulnerable; risk: medium
FIND-00031,,,2026-08-12,directly observed,qSearch 1.0.0 (scan collector),source code and certificates,/etc/ssl/certs/878d9bca.0,Internal,PEM certificate in /etc/ssl/certs/878d9bca.0,RSA,,,,sha256:4b009c1034494f9ab56bba3ba1d62731fc4d20d8955adcec10a925607261e338,high,No,Unvalidated (automated finding),,,Review,,,classification: quantum-vulnerable; risk: medium
FIND-00032,,,2026-08-12,directly observed,qSearch 1.0.0 (scan collector),source code and certificates,/etc/ssl/certs/AC_RAIZ_FNMT-RCM_SERVIDORES_SEGUROS.pem,Internal,PEM certificate in /etc/ssl/certs/AC_RAIZ_FNMT-RCM_SERVIDORES_SEGUROS.pem,EC (ECDSA/ECDH),,,,sha256:554153b13d2cf9ddb753bfbe1a4e0ae08d0aa4187058fe60a2b862b2e4b87bcb,high,No,Unvalidated (automated finding),,,Review,,,classification: quantum-vulnerable; risk: medium
